image_id,generated_caption,reference_captions,num_references,bleu1,bleu2,bleu3,bleu4
2853743795_e90ebc669d,A sunny beach with turquoise water and palm trees swaying in the breeze.,[],0,0,0,0,0
2579899436_5086a33c7a,"A close-up of a fluffy white kitten playing with a ball of yarn, its bright blue eyes full of curiosity.",[],0,0,0,0,0
96978713_775d66a18d,"A majestic snow-capped mountain towering over a lush green forest, under a bright blue sky with scattered fluffy clouds.",[],0,0,0,0,0
1463732130_a754441289,A close-up of a fluffy white cloud in a blue sky.,[],0,0,0,0,0
3030823649_3b7b6c728d,A colorful hot air balloon floating in a clear blue sky with fluffy white clouds.,[],0,0,0,0,0
2883907436_82bf4a36b8,A snowy winter scene with a red cardinal perched on a tree branch.,[],0,0,0,0,0
1072153132_53d2bb1b60,A close-up of a fluffy white kitten playing with a ball of yarn on a soft pink blanket.,[],0,0,0,0,0
3301854980_233cc2f896,A bright red apple resting on a wooden surface.,[],0,0,0,0,0
2218743570_9d6614c51c,"A peaceful sunrise over a calm lake, with vibrant hues of orange and pink spreading across the sky.",[],0,0,0,0,0
976392326_082dafc3c5,"A cozy living room with a crackling fireplace, adorned with a soft rug, comfortable couches, and warm lighting creating a welcoming atmosphere.",[],0,0,0,0,0
2319175397_3e586cfaf8,A colorful garden filled with blooming flowers of various sizes and shapes.,[],0,0,0,0,0
3751594676_edfbfa0688,A fluffy white kitten playing with a ball of yarn on a hardwood floor.,[],0,0,0,0,0
3076052114_233f42ae5b,A lush green forest with a winding river cutting through the landscape.,[],0,0,0,0,0
2100046085_69b59b6645,A serene landscape with a calm lake reflecting the surrounding trees and a clear blue sky above.,[],0,0,0,0,0
2860040276_eac0aca4fc,A beautiful sunset over a calm lake with vibrant orange and pink hues reflecting on the water.,[],0,0,0,0,0
3047264346_e24601bfbf,"A cozy living room with a crackling fireplace and soft, fluffy pillows.",[],0,0,0,0,0
3269661567_faf190885a,"A vibrant sunset over a calm lake, with hues of orange, pink, and purple reflecting on the water.",[],0,0,0,0,0
482353373_03a9d5e8bc,A cozy living room with a crackling fireplace and plush armchairs.,[],0,0,0,0,0
2055646179_169807fed4,A group of diverse friends laughing and enjoying a picnic in a lush green park.,[],0,0,0,0,0
3112821789_1f7c3bbb99,"A close-up of a vibrant bouquet of assorted flowers in full bloom, showcasing a mix of colors and textures.",[],0,0,0,0,0
3150252702_828a570d46,"A winding forest trail with dappled sunlight filtering through the trees, creating a peaceful atmosphere.",[],0,0,0,0,0
2883099128_0b056eed9e,A serene landscape with a calm lake reflecting the colorful autumn trees.,[],0,0,0,0,0
3107463441_7c68606450,A colorful bouquet of fresh flowers arranged in a glass vase on a wooden table.,[],0,0,0,0,0
3477715432_79d82487bb,A group of friends laughing and enjoying a picnic in a sunny park.,[],0,0,0,0,0
3301021288_95935b7a74,"A serene landscape featuring a colorful sunset over a calm lake, reflecting the vibrant hues of the sky.",[],0,0,0,0,0
2626158969_ac09aeb88d,"An adorable puppy playing in a field of green grass, its tail wagging happily as it chases a ball.",[],0,0,0,0,0
3001612175_53567ffb58,A group of diverse friends laughing and enjoying a picnic in a sunny park.,[],0,0,0,0,0
3174713468_e22fa7779e,"A vibrant sunset over a calm lake, reflecting the orange and pink hues in the water.",[],0,0,0,0,0
3159641529_c2c74f3eaf,A vibrant cityscape at night with glowing lights and bustling streets.,[],0,0,0,0,0
2632111399_b3c1630f8e,"A vibrant sunset painting the sky in shades of pink, orange, and purple, reflecting off the calm waters of a beach.",[],0,0,0,0,0
950273886_88c324e663,A bright red apple resting on a wooden table.,[],0,0,0,0,0
2914331767_8574e7703d,A group of vibrant hot air balloons floating in a clear blue sky with fluffy white clouds.,[],0,0,0,0,0
3259231890_16fe167b31,A lush green forest with sunlight filtering through the trees.,[],0,0,0,0,0
2636876892_9353521a1c,A lone tree standing tall in a green meadow under a clear blue sky.,[],0,0,0,0,0
823675317_b5fbdb17b3,A serene beach scene with palm trees and a calm ocean under a clear blue sky.,[],0,0,0,0,0
3721881082_afe9fc734e,"A cozy living room with a crackling fireplace, soft glowing lights, and a comfortable sofa with fluffy pillows.",[],0,0,0,0,0
309238565_2d5d8dc8bf,"An abstract painting with bold swirls of red, blue, and yellow creating a dynamic and energetic composition.",[],0,0,0,0,0
1088767354_2acee738cf,A group of diverse friends laughing and enjoying a picnic in a sunlit park.,[],0,0,0,0,0
2851304910_b5721199bc,A peaceful landscape with a vibrant sunset casting a warm orange glow over a calm lake.,[],0,0,0,0,0
324208502_674488bcea,A colorful bouquet of assorted flowers in a glass vase sitting on a wooden table.,[],0,0,0,0,0
2870426310_4d59795032,A close-up of a delicate pink flower blooming in a vibrant garden.,[],0,0,0,0,0
3157847991_463e006a28,"A colorful bouquet of fresh flowers, including roses, daisies, and tulips, arranged in a glass vase on a wooden table.",[],0,0,0,0,0
3058439373_9276a4702a,"A cozy living room with a crackling fireplace, soft rug, and comfortable armchairs.",[],0,0,0,0,0
2528552898_9e49a7033f,A serene landscape with a calm lake reflecting a clear blue sky and fluffy white clouds.,[],0,0,0,0,0
3638318149_b60450bfbe,"A beautiful sunset over a calm lake, with vibrant shades of orange and pink reflecting on the water.",[],0,0,0,0,0
3528902357_be2357a906,A serene lake reflecting the surrounding mountains and trees.,[],0,0,0,0,0
861608773_bdafd5c996,"A group of fluffy white clouds scattered across a bright blue sky, creating a serene and peaceful atmosphere.",[],0,0,0,0,0
2261550615_b6c25d987b,A fluffy white cat playing with a ball of yarn on a wooden floor.,[],0,0,0,0,0
3085357792_efcf297c71,"A group of diverse young adults laughing and enjoying a picnic in a green park on a sunny day, with a colorful blanket spread out on the grass.",[],0,0,0,0,0
3172283002_3c0fc624de,A vibrant city street bustling with people and lined with shops and cafes.,[],0,0,0,0,0
3404408360_430f73b034,"An abstract artwork featuring bold, swirling patterns in shades of blue and purple, reminiscent of a galaxy.",[],0,0,0,0,0
3191982761_88793192ed,"A cozy cabin nestled among tall pine trees, with smoke rising from the chimney on a chilly day.",[],0,0,0,0,0
3640870001_acbd1d5ceb,A serene landscape of a calm lake reflecting the colorful autumn foliage.,[],0,0,0,0,0
3612485611_12dd7742f7,"A vibrant cityscape with towering skyscrapers against a clear blue sky, bustling with city life.",[],0,0,0,0,0
3565598162_56044bc2f7,"An aerial view of a bustling cityscape at night, with illuminated skyscrapers and roads creating a vibrant and dynamic scene.",[],0,0,0,0,0
2735979477_eef7c680f9,A serene landscape with a colorful sunset reflecting on a calm lake surrounded by lush green trees.,[],0,0,0,0,0
3148286846_40ae914172,A tranquil beach scene with palm trees and a calm ocean.,[],0,0,0,0,0
3493000349_81c540e828,A serene landscape with a calm lake reflecting the blue sky and fluffy clouds.,[],0,0,0,0,0
639120223_7db6bdb61f,"A colorful bouquet of assorted flowers in full bloom, showcasing a vibrant mix of pink, purple, and yellow petals.",[],0,0,0,0,0
1478606153_a7163bf899,A colorful garden filled with blooming flowers of various shapes and sizes.,[],0,0,0,0,0
95734035_84732a92c1,"A serene beach scene with golden sand, crystal clear blue water, and a clear sky.",[],0,0,0,0,0
3597326009_3678a98a43,"A vibrant sunset over a calm lake, reflecting beautiful shades of pink, orange, and purple in the water.",[],0,0,0,0,0
501520507_c86f805ab8,"A peaceful landscape with a winding river, lush green trees, and a clear blue sky.",[],0,0,0,0,0
2613209320_edf6a2b7e9,A serene landscape featuring a tranquil lake surrounded by lush green trees and colorful flowers.,[],0,0,0,0,0
241345522_c3c266a02a,A serene landscape featuring a tranquil lake reflecting the clear blue sky and surrounded by lush green trees.,[],0,0,0,0,0
2963672852_c28043bb2c,"A cozy cabin nestled among tall pine trees, with smoke rising from the chimney on a crisp autumn day.",[],0,0,0,0,0
475317104_1cdc1653b4,"A vibrant sunset over a calm ocean, with the sky painted in hues of pink, orange, and purple.",[],0,0,0,0,0
2882743431_c3e6cd1b5c,"A group of friends laughing and enjoying a picnic in a green, sunlit park.",[],0,0,0,0,0
2744690159_fe2c89e55b,A bright red apple on a wooden table with soft natural lighting.,[],0,0,0,0,0
2708744743_e231f7fcf9,A group of friends laughing and enjoying a picnic in a sunny park.,[],0,0,0,0,0
3677927146_1696f0b075,"A vibrant city street bustling with people and traffic, tall buildings lining the skyline under a clear blue sky.",[],0,0,0,0,0
3474985382_26e1560338,A serene forest scene with sunlight streaming through the trees onto a moss-covered path.,[],0,0,0,0,0
883040210_3c4a10f030,"A close-up of a fluffy white cloud against a bright blue sky, creating a peaceful and serene scene.",[],0,0,0,0,0
2119660490_ce0d4d1f73,"A group of diverse friends smiling and laughing together at a picnic in a sunny park, surrounded by lush greenery.",[],0,0,0,0,0
3132832452_c354c6396c,"A lush green forest with sunlight streaming through the trees, creating dappled patterns on the ground.",[],0,0,0,0,0
2884651479_12e400ee58,"A vibrant sunset over a calm lake, reflecting the orange and pink hues of the sky.",[],0,0,0,0,0
3319058642_885d756295,"A scenic view of a lush green forest with sunlight filtering through the trees, casting dappled shadows on the ground.",[],0,0,0,0,0
3325129757_7a1979ac11,A serene landscape with a calm lake reflecting the colorful autumn trees.,[],0,0,0,0,0
3153067758_53f003b1df,"A peaceful forest scene with sunlight filtering through the trees, creating a dappled effect on the forest floor.",[],0,0,0,0,0
1204996216_71d7519d9a,"A tranquil sunset over a calm lake, with vibrant hues of orange and pink reflecting in the water.",[],0,0,0,0,0
3049649128_d83d847168,"A peaceful forest scene with sunlight streaming through the trees, casting shadows on the lush green foliage below.",[],0,0,0,0,0
2922222717_12195af92d,A lush green forest with sunlight peeking through the dense canopy.,[],0,0,0,0,0
3643074723_94d42b7a0c,A colorful hot air balloon soaring high above a picturesque landscape of rolling hills and fields.,[],0,0,0,0,0
3544233095_4bca71df1d,"A lush green forest with sunlight filtering through the canopy, creating dappled shadows on the ground.",[],0,0,0,0,0
260850192_fd03ea26f1,A group of diverse friends laughing and having a picnic in a sunny park.,[],0,0,0,0,0
1398613231_18de248606,"A serene landscape with a colorful sunset over a calm lake, reflecting the vibrant hues of the sky.",[],0,0,0,0,0
2798651021_2566f2a47e,A serene landscape with a calm lake reflecting the blue sky and fluffy white clouds.,[],0,0,0,0,0
140526326_da07305c1c,A serene landscape of a tranquil lake surrounded by lush green trees and a clear blue sky.,[],0,0,0,0,0
3250593457_9049a73b61,"A lush green forest with sunlight filtering through the dense canopy, creating a serene atmosphere.",[],0,0,0,0,0
3439128755_84409b8823,"A group of diverse friends laughing and enjoying a picnic in a sunny park, surrounded by lush green trees and colorful flowers.",[],0,0,0,0,0
2613889835_6f50a3b83b,A group of diverse friends laughing and enjoying a picnic in a sun-drenched park.,[],0,0,0,0,0
381239475_044cbffa2b,A serene beach scene with clear blue waters and a sandy shore.,[],0,0,0,0,0
3564148252_aa4cb36a32,A serene landscape of a lush green meadow with a clear blue sky overhead.,[],0,0,0,0,0
282116218_7fd7583d6e,"An overhead view of a bustling city street filled with people walking and cars moving, under a clear blue sky with tall buildings lining the road.",[],0,0,0,0,0
3029928396_99ac250788,"A colorful sunset over a calm lake, with the sky painted in hues of pink, purple, and orange.",[],0,0,0,0,0
964197865_0133acaeb4,A playful puppy running through a field of blooming wildflowers under a sunny sky.,[],0,0,0,0,0
435054077_3506dbfcf4,A fluffy white kitten playing with a colorful ball of yarn on a soft rug.,[],0,0,0,0,0
3504940491_94c43792ed,"A lush green forest with sunlight filtering through the leaves, creating a magical and peaceful atmosphere.",[],0,0,0,0,0
3681324243_b69fa90842,A serene landscape with a winding river cutting through lush green forests and rolling hills under a clear blue sky.,[],0,0,0,0,0
3202360797_2084743e90,A group of friends laughing and chatting around a bonfire under a starry night sky.,[],0,0,0,0,0
2308271254_27fb466eb4,A majestic mountain range covered in snow under a clear blue sky.,[],0,0,0,0,0
3563668905_689ed479c5,A serene lake reflecting the colors of the surrounding autumn trees.,[],0,0,0,0,0
134894450_dadea45d65,A serene landscape with a vibrant sunset casting a warm glow over a calm lake and rolling hills in the background.,[],0,0,0,0,0
2940594396_20c40947b0,A group of friends laughing and enjoying a picnic in a lush green park on a sunny day.,[],0,0,0,0,0
3620343911_64a862904e,A group of friends laughing and having a picnic in a lush green park.,[],0,0,0,0,0
2315807231_6948b3f3a5,"A serene beach scene with golden sand, clear blue water, and a few palm trees swaying in the breeze.",[],0,0,0,0,0
3454315016_f1e30d4676,"A serene landscape painting of a mountain range with a calm lake in the foreground, surrounded by lush green trees under a clear blue sky.",[],0,0,0,0,0
341665272_80d4d61376,"A fluffy white kitten playing with a ball of yarn on a soft, cozy blanket.",[],0,0,0,0,0
2291511815_ac083fddbd,"A close-up shot of a colorful bouquet of fresh flowers, including roses, daisies, and lilies.",[],0,0,0,0,0
2531531628_b4a5041680,A field of colorful wildflowers swaying in the gentle breeze under a clear blue sky.,[],0,0,0,0,0
278007543_99f5a91a3e,A group of friends laughing and enjoying a picnic in a sunny park.,[],0,0,0,0,0
771366843_a66304161b,A scenic view of a peaceful lake surrounded by lush green trees and a clear blue sky.,[],0,0,0,0,0
2257294002_0073263c54,A dense forest with tall trees and a winding path leading into the distance.,[],0,0,0,0,0
3208553539_2bf6c6d162,"A majestic snow-capped mountain peak, towering over a lush green forest below.",[],0,0,0,0,0
35506150_cbdb630f4f,A group of diverse friends laughing and enjoying a picnic in a sunny park.,[],0,0,0,0,0
2058124718_89822bc96e,"An adorable puppy playing in a pile of fallen leaves during autumn, with a joyful expression on its face.",[],0,0,0,0,0
2856923934_6eb8832c9a,A peaceful meadow filled with blooming wildflowers under a bright sun.,[],0,0,0,0,0
